Position in alignment, Recombination breakpoint number (200nt win), Upper 99% CI, Lower 99% CI, Upper 95% CI, Lower 95% CI
1,4.374888,22.93738,22.93738,19.98632,19.98632
3,4.082664,22.62053,5.683279,19.79276,7.519181
5,3.989039,22.26166,5.350355,19.61881,7.466244
7,3.876757,22.00317,5.357326,19.47954,7.428524
9,3.841412,22.07078,5.390514,19.45634,7.418504
11,3.806067,22.13839,5.395894,19.47638,7.388004
13,3.770722,22.20559,5.415344,19.4149,7.357937
15,3.709323,22.02759,5.400704,19.26452,7.290388
17,3.656004,21.81517,5.229381,18.98948,7.147149
19,3.578007,21.75335,5.139498,18.91984,7.119761
21,3.512902,21.40718,4.72521,18.4937,6.759314
23,3.510523,21.20536,4.828913,18.54487,6.661901
25,3.543999,21.26084,4.857766,18.69144,6.736546
27,3.591813,21.09528,4.886484,18.66891,6.758297
29,3.644177,21.18212,4.999002,18.91922,6.709596
31,3.634885,21.11861,5.014731,18.95061,6.748368
33,3.625593,21.15777,5.031841,18.98404,6.729625
35,3.615505,21.1407,5.103133,18.9831,6.760058
37,3.602143,21.20805,5.14851,18.98975,6.733388
39,3.504964,21.1256,5.166584,18.70217,6.66792
41,3.4044,21.13528,5.137877,18.38909,6.691473
43,3.335551,21.01659,5.23919,18.39578,6.627135
45,3.320829,20.83244,5.193286,18.41827,6.594405
47,3.291458,20.86468,5.031252,18.3714,6.54541
49,3.21005,20.72662,4.675915,17.91906,6.234015
51,3.136714,20.45528,4.427062,17.65467,6.076068
53,3.114968,20.28881,4.614132,17.62024,6.0743
55,3.101517,20.11534,4.729496,17.55754,6.034254
57,3.067734,19.82349,4.778476,17.43663,5.971996
59,3.03126,19.74147,4.715899,17.2902,5.779221
61,3.017886,19.65238,4.681912,17.29445,5.773671
63,3.003616,19.52566,4.639376,17.34169,5.929548
65,2.988169,19.26966,4.776165,17.32987,5.760107
67,2.971903,19.25276,4.847001,17.41831,5.786038
69,2.917407,19.06383,4.761808,17.19258,5.734344
71,2.861372,18.79422,4.78056,16.78474,5.703964
73,2.854686,18.85061,4.834996,17.03818,5.753647
75,2.848217,19.19273,4.923876,17.30691,5.922432
77,2.841071,19.2934,4.941606,17.46439,5.986442
79,2.833858,19.41448,4.983766,17.53264,6.058908
81,2.823065,19.50649,4.944817,17.57269,6.086031
83,2.773309,19.57579,5.070371,17.64936,6.081402
85,2.759658,19.85981,5.150698,17.98334,6.20003
87,2.747225,20.22415,5.574554,18.34731,6.422818
89,2.733908,20.41825,5.594314,18.43687,6.551232
91,2.717973,20.83679,5.628886,18.5441,6.823664
93,2.702341,21.14426,5.570535,18.62064,6.835834
95,2.68672,21.36883,5.57556,18.72322,6.90777
97,2.67285,21.489,5.774243,18.9143,7.004473
99,2.667716,21.65607,5.793802,19.13379,7.099679
101,2.676922,21.82175,5.861356,19.39574,7.198683
103,2.659327,22.10728,6.014086,19.75956,7.463309
105,2.655925,22.33589,6.100247,19.95913,7.666952
107,2.657944,22.87933,6.238356,20.46274,8.140504
109,2.63043,23.09072,6.34751,20.57159,8.202685
111,2.600742,23.15278,6.386661,20.61268,8.249194
113,2.575086,23.2028,6.437048,20.65995,8.266482
115,2.553459,23.24638,6.535876,20.72586,8.298386
117,2.532696,23.33031,6.630427,21.10348,8.348913
119,2.511919,23.389,6.639243,21.20514,8.398688
121,2.460517,23.39507,6.675585,21.28935,8.63815
123,2.400939,23.39467,6.732255,21.37625,8.632925
125,2.388684,23.40341,6.805213,21.50884,8.63224
127,2.334513,23.60273,6.903741,21.40339,8.876143
129,2.39231,23.51258,6.906454,21.33761,8.920494
131,2.46135,23.59008,6.85866,21.33948,8.869985
133,2.530415,23.73116,6.819312,21.34827,8.722934
135,2.504249,23.71728,6.783659,21.37759,8.856035
137,2.593258,23.66219,6.814622,21.56767,8.978475
139,2.805661,23.68831,7.029863,21.78724,9.034072
141,3.014055,23.72574,7.218973,21.86389,9.061252
143,3.03442,23.77411,7.378416,21.82071,8.976833
145,3.000898,23.6817,6.99965,21.66366,8.604125
147,3.026233,23.77362,6.891064,21.64162,8.582481
149,3.051568,23.93367,6.785385,21.79023,8.612434
151,3.118532,24.0553,6.707616,21.93543,8.670693
153,3.212556,24.22511,6.785253,22.12232,8.859729
155,3.225737,24.15524,6.678053,22.13858,8.833992
157,3.255781,24.3065,6.690794,22.16336,8.886022
159,3.344613,24.56359,6.75833,22.18269,9.003855
161,3.375648,24.52445,6.960854,22.36919,9.055439
163,3.402622,24.58018,6.919332,22.52118,9.120034
165,3.396973,24.65953,6.876325,22.64707,9.076864
167,3.415539,24.75769,6.913856,22.91287,9.16994
169,3.439116,24.87975,6.972244,22.91209,9.44153
171,3.801536,25.48092,7.077349,23.12527,9.842724
173,3.984984,25.88034,7.304757,23.38519,10.06182
175,4.125459,26.24872,7.560099,23.81565,10.24925
177,4.197463,26.46788,7.749638,23.9314,10.25488
179,4.302489,26.6624,7.806853,24.09089,10.49955
181,4.726597,27.116,7.834327,24.37262,10.51713
183,4.938443,27.29045,7.86693,24.48071,10.53892
185,5.155032,27.0471,7.835811,24.9273,10.16068
187,5.164752,27.19261,7.939782,24.94326,10.19306
189,5.160134,27.15878,8.04361,25.00391,10.07819
191,5.05629,26.65595,8.122431,24.3275,9.752416
193,5.001904,26.14034,7.991623,23.77778,9.508451
195,5.01542,25.88575,8.039156,23.56165,9.556367
197,5.04875,25.86379,8.030255,23.44843,9.524072
199,5.0886,25.84219,7.98046,23.49983,9.492758
201,5.137602,25.74665,7.791236,23.37547,9.372513
203,5.259738,25.8762,7.870859,23.70375,9.459908
205,5.436614,25.93343,7.787092,23.9081,9.428241
207,5.610704,25.99299,7.753499,24.03587,9.44095
209,5.841336,26.31445,7.988005,24.15724,9.505093
211,6.007809,26.77234,8.165099,24.37484,9.631315
213,6.188063,27.05741,8.279113,24.56552,9.704139
215,6.297024,27.19959,8.31389,24.7841,9.743214
217,6.419387,27.38087,8.348278,24.85839,9.882962
219,6.535697,27.39041,8.289804,24.9247,10.01357
221,6.821303,27.82832,8.826536,25.12789,10.32315
223,6.923563,27.88811,9.195265,25.41922,10.43284
225,6.974589,27.86339,9.141229,25.25908,10.29837
227,7.008667,27.4398,9.129728,25.28928,10.31453
229,7.056124,27.38775,9.141534,25.15116,10.32127
231,7.197002,27.65603,9.438547,25.21999,10.55324
233,7.256845,27.68442,9.437768,25.06204,10.6062
235,7.317485,27.69032,9.462563,24.91793,10.61397
237,7.378126,27.68777,9.000054,24.91753,10.5328
239,7.439528,27.70104,8.947266,24.70438,10.49957
241,7.699724,27.79803,9.072689,24.93514,10.73917
243,7.78034,27.85949,9.07807,25.16147,10.77727
245,7.874037,28.00728,8.927258,25.31621,10.74753
247,7.985758,27.63926,8.719451,25.34181,10.79323
249,8.507979,27.24869,8.875548,25.38022,10.93455
251,9.335344,27.69874,9.334468,25.94241,11.12487
253,9.84448,28.04923,9.456513,26.04052,11.33986
255,10.3234,28.44082,9.514265,26.15391,11.50908
257,10.4938,28.54145,9.573549,26.15852,11.58574
259,10.60937,28.6357,9.788194,26.27719,11.71729
261,10.71217,28.68937,9.829655,26.3077,11.92161
263,10.79161,28.71548,9.849525,26.45783,12.07956
265,10.90499,28.92668,9.860316,26.52113,12.15288
267,11.01053,29.04494,9.882371,26.76493,12.12833
269,11.05649,29.09474,9.866192,26.65253,11.89971
271,11.10167,29.09625,9.807256,26.47273,11.7235
273,11.14708,29.09776,9.747142,26.30214,11.54689
275,11.19228,28.44776,9.746289,25.98574,11.21495
277,11.23814,28.26153,9.80478,25.82135,11.05079
279,11.28406,27.96337,9.719849,25.64841,11.05688
281,11.33003,27.84795,9.579035,25.62659,10.99962
283,11.37515,27.48667,9.438185,25.47823,10.87444
285,11.84869,27.57666,9.432373,25.38788,10.87794
287,12.67985,27.61429,9.410972,25.43584,11.04222
289,13.14983,27.76541,9.415484,25.61264,11.13266
291,13.7861,28.09152,9.638499,25.59254,11.35698
293,14.13113,28.38853,10.09444,25.91775,11.54542
295,14.51135,28.50036,10.1498,26.22225,11.76512
297,14.88381,28.71765,10.22566,25.98178,12.00931
299,15.16389,28.76522,10.29189,25.93759,12.03134
301,15.52403,28.74255,10.75231,26.14171,12.11601
303,16.35594,28.98648,10.62743,26.42332,12.02464
305,16.40265,28.97623,10.40201,25.97181,11.87708
307,16.44379,28.61456,10.01482,25.56636,11.39046
309,16.51188,28.53,9.934158,25.4707,11.38455
311,16.57995,28.50159,9.933683,25.39502,11.38216
313,16.64804,28.47319,9.933208,25.31934,11.34678
315,16.71611,28.02148,9.934278,25.22936,11.12984
317,16.78313,27.85143,9.854602,25.00863,11.06866
319,16.85016,27.7859,9.804642,24.89954,10.95806
321,16.91533,27.72997,9.79298,24.71611,10.88658
323,16.97851,27.69234,9.761333,24.57595,10.81104
325,17.00853,27.50911,9.463117,24.47518,10.64789
327,17.0342,27.24806,9.234196,24.3329,10.55609
329,17.0225,26.80434,8.870287,24.14259,10.30165
331,16.99957,26.75129,8.826369,24.085,10.25355
333,16.97664,26.51111,8.78301,23.92675,10.16447
335,16.95382,26.0523,8.74228,23.7428,10.07538
337,16.91816,25.84454,8.460651,23.45902,9.950864
339,16.79497,25.84161,8.52657,23.40098,9.829549
341,16.86456,25.59423,8.409396,23.33682,9.880182
343,17.23684,25.52507,8.309021,23.33171,9.849234
345,17.67506,25.46437,8.215424,23.21806,9.889056
347,18.00501,25.49981,8.211514,23.11261,9.951136
349,18.33497,25.27406,8.205178,23.05809,10.01322
351,18.62331,25.46623,8.207317,22.96744,9.829123
353,18.69598,25.08303,7.878539,22.55135,9.497289
355,18.84361,24.91688,7.94082,22.4392,9.491669
357,19.0431,24.61116,8.003035,22.39192,9.450432
359,19.18394,24.24318,7.954226,22.10963,9.322899
361,19.44614,24.12876,7.993582,22.25166,9.15058
363,19.78099,24.27242,7.955248,22.15244,9.01418
365,20.29587,24.43941,7.931253,22.27068,9.06293
367,20.95036,24.96432,8.2508,22.53855,9.236939
369,21.46623,26.05214,8.257461,22.95445,9.547826
371,21.33256,25.78015,7.847249,22.85114,9.483696
373,21.44335,25.31271,7.70288,22.57457,9.305403
375,21.63353,25.11236,7.684431,22.39895,9.201948
377,21.61289,24.97412,7.651551,22.48636,9.103734
379,21.57285,24.84447,7.586632,22.57616,9.033976
381,21.24602,24.69956,7.571058,22.53016,8.918527
383,21.18463,24.66903,7.614577,22.58686,8.935092
385,21.01206,24.6657,7.204622,22.49034,8.796936
387,21.13614,24.88029,7.164468,22.51139,8.782952
389,21.30747,25.01098,7.130822,22.51505,8.797607
391,21.61493,25.13606,7.378597,22.61522,8.92395
393,22.10913,25.50576,7.590114,22.75103,9.000516
